---- Opened the serial port COM12 ----
# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
# --- ML-KEM-512 (FIPS 203) ---
# PK=800 SK=1632 CT=768 SS=32 bytes
ML-KEM,keygen,512,10423,1
ML-KEM,keygen,512,9793,2
ML-KEM,keygen,512,9713,3
ML-KEM,keygen,512,9713,4
ML-KEM,keygen,512,9732,5
ML-KEM,keygen,512,9722,6
ML-KEM,keygen,512,9714,7
ML-KEM,keygen,512,9705,8
ML-KEM,keygen,512,9701,9
ML-KEM,keygen,512,9699,10
ML-KEM,keygen,512,9692,11
ML-KEM,keygen,512,9721,12
ML-KEM,keygen,512,9699,13
ML-KEM,keygen,512,9691,14
ML-KEM,keygen,512,9708,15
ML-KEM,keygen,512,9709,16
ML-KEM,keygen,512,9722,17
ML-KEM,keygen,512,9710,18
ML-KEM,keygen,512,9724,19
ML-KEM,keygen,512,9710,20
ML-KEM,keygen,512,9726,21
ML-KEM,keygen,512,9696,22
ML-KEM,keygen,512,9702,23
ML-KEM,keygen,512,9698,24
ML-KEM,keygen,512,9941,25
ML-KEM,keygen,512,9703,26
ML-KEM,keygen,512,9724,27
ML-KEM,keygen,512,9710,28
ML-KEM,keygen,512,9699,29
ML-KEM,keygen,512,9944,30
# SUMMARY ML-KEM keygen 512: mean=9751 min=9691 max=10423 stddev=138.4 cv=1.42%
ML-KEM,encaps,512,11272,1
ML-KEM,encaps,512,11376,2
ML-KEM,encaps,512,11301,3
ML-KEM,encaps,512,11320,4
ML-KEM,encaps,512,11301,5
ML-KEM,encaps,512,11276,6
ML-KEM,encaps,512,11286,7
ML-KEM,encaps,512,11302,8
ML-KEM,encaps,512,11291,9
ML-KEM,encaps,512,11286,10
ML-KEM,encaps,512,11299,11
ML-KEM,encaps,512,11286,12
ML-KEM,encaps,512,11287,13
ML-KEM,encaps,512,11273,14
ML-KEM,encaps,512,11303,15
ML-KEM,encaps,512,11296,16
ML-KEM,encaps,512,11297,17
ML-KEM,encaps,512,11294,18
ML-KEM,encaps,512,11287,19
ML-KEM,encaps,512,11299,20
ML-KEM,encaps,512,11308,21
ML-KEM,encaps,512,11316,22
ML-KEM,encaps,512,11285,23
ML-KEM,encaps,512,11278,24
ML-KEM,encaps,512,11303,25
ML-KEM,encaps,512,11306,26
ML-KEM,encaps,512,11293,27
ML-KEM,encaps,512,11278,28
ML-KEM,encaps,512,11286,29
ML-KEM,encaps,512,11283,30
# SUMMARY ML-KEM encaps 512: mean=11296 min=11272 max=11376 stddev=19.0 cv=0.17%
ML-KEM,decaps,512,13886,1
ML-KEM,decaps,512,14027,2
ML-KEM,decaps,512,13949,3
ML-KEM,decaps,512,13956,4
ML-KEM,decaps,512,13940,5
ML-KEM,decaps,512,13948,6
ML-KEM,decaps,512,13959,7
ML-KEM,decaps,512,13949,8
ML-KEM,decaps,512,13944,9
ML-KEM,decaps,512,13975,10
ML-KEM,decaps,512,13965,11
ML-KEM,decaps,512,13956,12
ML-KEM,decaps,512,13962,13
ML-KEM,decaps,512,13958,14
ML-KEM,decaps,512,13965,15
ML-KEM,decaps,512,13957,16
ML-KEM,decaps,512,13948,17
ML-KEM,decaps,512,13956,18
ML-KEM,decaps,512,13937,19
ML-KEM,decaps,512,13949,20
ML-KEM,decaps,512,13944,21
ML-KEM,decaps,512,13947,22
ML-KEM,decaps,512,13968,23
ML-KEM,decaps,512,13964,24
ML-KEM,decaps,512,13945,25
ML-KEM,decaps,512,13949,26
ML-KEM,decaps,512,13944,27
ML-KEM,decaps,512,13944,28
ML-KEM,decaps,512,13956,29
ML-KEM,decaps,512,13948,30
# SUMMARY ML-KEM decaps 512: mean=13953 min=13886 max=14027 stddev=20.2 cv=0.14%
# CORRECTNESS: ML-KEM-512 shared secrets MATCH
# STACK ML-KEM keygen 512: 6328 bytes (avail=62024)
# STACK ML-KEM encaps 512: 8872 bytes (avail=62024)
# STACK ML-KEM decaps 512: 9648 bytes (avail=62024)
# --- ML-KEM-768 (FIPS 203) ---
# PK=1184 SK=2400 CT=1088 SS=32 bytes
ML-KEM,keygen,768,16044,1
ML-KEM,keygen,768,15821,2
ML-KEM,keygen,768,15776,3
ML-KEM,keygen,768,15787,4
ML-KEM,keygen,768,15789,5
ML-KEM,keygen,768,15776,6
ML-KEM,keygen,768,15781,7
ML-KEM,keygen,768,16019,8
ML-KEM,keygen,768,15797,9
ML-KEM,keygen,768,15780,10
ML-KEM,keygen,768,15784,11
ML-KEM,keygen,768,15810,12
ML-KEM,keygen,768,15802,13
ML-KEM,keygen,768,15790,14
ML-KEM,keygen,768,15810,15
ML-KEM,keygen,768,15803,16
ML-KEM,keygen,768,15788,17
ML-KEM,keygen,768,15792,18
ML-KEM,keygen,768,15805,19
ML-KEM,keygen,768,15779,20
ML-KEM,keygen,768,15783,21
ML-KEM,keygen,768,15798,22
ML-KEM,keygen,768,15781,23
ML-KEM,keygen,768,15772,24
ML-KEM,keygen,768,15800,25
ML-KEM,keygen,768,15798,26
ML-KEM,keygen,768,16015,27
ML-KEM,keygen,768,15797,28
ML-KEM,keygen,768,15785,29
ML-KEM,keygen,768,15789,30
# SUMMARY ML-KEM keygen 768: mean=15815 min=15772 max=16044 stddev=71.3 cv=0.45%
ML-KEM,encaps,768,18215,1
ML-KEM,encaps,768,18343,2
ML-KEM,encaps,768,18323,3
ML-KEM,encaps,768,18315,4
ML-KEM,encaps,768,18308,5
ML-KEM,encaps,768,18289,6
ML-KEM,encaps,768,18292,7
ML-KEM,encaps,768,18306,8
ML-KEM,encaps,768,18302,9
ML-KEM,encaps,768,18344,10
ML-KEM,encaps,768,18294,11
ML-KEM,encaps,768,18319,12
ML-KEM,encaps,768,18295,13
ML-KEM,encaps,768,18299,14
ML-KEM,encaps,768,18294,15
ML-KEM,encaps,768,18297,16
ML-KEM,encaps,768,18310,17
ML-KEM,encaps,768,18300,18
ML-KEM,encaps,768,18306,19
ML-KEM,encaps,768,18278,20
ML-KEM,encaps,768,18311,21
ML-KEM,encaps,768,18305,22
ML-KEM,encaps,768,18333,23
ML-KEM,encaps,768,18306,24
ML-KEM,encaps,768,18313,25
ML-KEM,encaps,768,18300,26
ML-KEM,encaps,768,18292,27
ML-KEM,encaps,768,18309,28
ML-KEM,encaps,768,18302,29
ML-KEM,encaps,768,18309,30
# SUMMARY ML-KEM encaps 768: mean=18304 min=18215 max=18344 stddev=21.9 cv=0.12%
ML-KEM,decaps,768,21605,1
ML-KEM,decaps,768,21744,2
ML-KEM,decaps,768,21721,3
ML-KEM,decaps,768,21710,4
ML-KEM,decaps,768,21713,5
ML-KEM,decaps,768,21714,6
ML-KEM,decaps,768,21726,7
ML-KEM,decaps,768,21705,8
ML-KEM,decaps,768,21722,9
ML-KEM,decaps,768,21720,10
ML-KEM,decaps,768,21696,11
ML-KEM,decaps,768,21703,12
ML-KEM,decaps,768,21721,13
ML-KEM,decaps,768,21725,14
ML-KEM,decaps,768,21708,15
ML-KEM,decaps,768,21692,16
ML-KEM,decaps,768,21731,17
ML-KEM,decaps,768,21709,18
ML-KEM,decaps,768,21727,19
ML-KEM,decaps,768,21696,20
ML-KEM,decaps,768,21726,21
ML-KEM,decaps,768,21713,22
ML-KEM,decaps,768,21704,23
ML-KEM,decaps,768,21713,24
ML-KEM,decaps,768,21701,25
ML-KEM,decaps,768,21733,26
ML-KEM,decaps,768,21723,27
ML-KEM,decaps,768,21695,28
ML-KEM,decaps,768,21707,29
ML-KEM,decaps,768,21697,30
# SUMMARY ML-KEM decaps 768: mean=21710 min=21605 max=21744 stddev=23.2 cv=0.11%
# CORRECTNESS: ML-KEM-768 shared secrets MATCH
# STACK ML-KEM keygen 768: 10352 bytes (avail=60552)
# STACK ML-KEM encaps 768: 13472 bytes (avail=60552)
# STACK ML-KEM decaps 768: 14568 bytes (avail=60552)
# --- ML-KEM-1024 (FIPS 203) ---
# PK=1568 SK=3168 CT=1568 SS=32 bytes
ML-KEM,keygen,1024,24905,1
ML-KEM,keygen,1024,24669,2
ML-KEM,keygen,1024,24621,3
ML-KEM,keygen,1024,24612,4
ML-KEM,keygen,1024,24633,5
ML-KEM,keygen,1024,24615,6
ML-KEM,keygen,1024,24864,7
ML-KEM,keygen,1024,24623,8
ML-KEM,keygen,1024,24613,9
ML-KEM,keygen,1024,24856,10
ML-KEM,keygen,1024,24601,11
ML-KEM,keygen,1024,24628,12
ML-KEM,keygen,1024,24652,13
ML-KEM,keygen,1024,24633,14
ML-KEM,keygen,1024,24610,15
ML-KEM,keygen,1024,24602,16
ML-KEM,keygen,1024,24845,17
ML-KEM,keygen,1024,24614,18
ML-KEM,keygen,1024,24622,19
ML-KEM,keygen,1024,24616,20
ML-KEM,keygen,1024,24614,21
ML-KEM,keygen,1024,24831,22
ML-KEM,keygen,1024,24609,23
ML-KEM,keygen,1024,24612,24
ML-KEM,keygen,1024,24844,25
ML-KEM,keygen,1024,24597,26
ML-KEM,keygen,1024,24608,27
ML-KEM,keygen,1024,24598,28
ML-KEM,keygen,1024,24839,29
ML-KEM,keygen,1024,24604,30
# SUMMARY ML-KEM keygen 1024: mean=24673 min=24597 max=24905 stddev=102.0 cv=0.41%
ML-KEM,encaps,1024,27919,1
ML-KEM,encaps,1024,27955,2
ML-KEM,encaps,1024,27885,3
ML-KEM,encaps,1024,27888,4
ML-KEM,encaps,1024,27872,5
ML-KEM,encaps,1024,27896,6
ML-KEM,encaps,1024,27880,7
ML-KEM,encaps,1024,27879,8
ML-KEM,encaps,1024,27895,9
ML-KEM,encaps,1024,27888,10
ML-KEM,encaps,1024,27878,11
ML-KEM,encaps,1024,27867,12
ML-KEM,encaps,1024,27871,13
ML-KEM,encaps,1024,27886,14
ML-KEM,encaps,1024,27879,15
ML-KEM,encaps,1024,27873,16
ML-KEM,encaps,1024,27884,17
ML-KEM,encaps,1024,27878,18
ML-KEM,encaps,1024,27871,19
ML-KEM,encaps,1024,27884,20
ML-KEM,encaps,1024,27880,21
ML-KEM,encaps,1024,27883,22
ML-KEM,encaps,1024,27888,23
ML-KEM,encaps,1024,27874,24
ML-KEM,encaps,1024,27872,25
ML-KEM,encaps,1024,27883,26
ML-KEM,encaps,1024,27877,27
ML-KEM,encaps,1024,27880,28
ML-KEM,encaps,1024,27866,29
ML-KEM,encaps,1024,27890,30
# SUMMARY ML-KEM encaps 1024: mean=27884 min=27866 max=27955 stddev=16.6 cv=0.06%
ML-KEM,decaps,1024,32133,1
ML-KEM,decaps,1024,32245,2
ML-KEM,decaps,1024,32188,3
ML-KEM,decaps,1024,32182,4
ML-KEM,decaps,1024,32175,5
ML-KEM,decaps,1024,32171,6
ML-KEM,decaps,1024,32175,7
ML-KEM,decaps,1024,32183,8
ML-KEM,decaps,1024,32195,9
ML-KEM,decaps,1024,32186,10
ML-KEM,decaps,1024,32191,11
ML-KEM,decaps,1024,32173,12
ML-KEM,decaps,1024,32180,13
ML-KEM,decaps,1024,32180,14
ML-KEM,decaps,1024,32190,15
ML-KEM,decaps,1024,32185,16
ML-KEM,decaps,1024,32175,17
ML-KEM,decaps,1024,32185,18
ML-KEM,decaps,1024,32192,19
ML-KEM,decaps,1024,32172,20
ML-KEM,decaps,1024,32181,21
ML-KEM,decaps,1024,32190,22
ML-KEM,decaps,1024,32178,23
ML-KEM,decaps,1024,32187,24
ML-KEM,decaps,1024,32182,25
ML-KEM,decaps,1024,32194,26
ML-KEM,decaps,1024,32172,27
ML-KEM,decaps,1024,32186,28
ML-KEM,decaps,1024,32187,29
ML-KEM,decaps,1024,32186,30
# SUMMARY ML-KEM decaps 1024: mean=32183 min=32133 max=32245 stddev=16.0 cv=0.05%
# CORRECTNESS: ML-KEM-1024 shared secrets MATCH
# STACK ML-KEM keygen 1024: 15336 bytes (avail=58920)
# STACK ML-KEM encaps 1024: 18896 bytes (avail=58920)
# STACK ML-KEM decaps 1024: 20472 bytes (avail=58920)
# === ML-KEM benchmarks complete ===
