---- Opened the serial port COM12 ----
# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
# --- ML-DSA-44 (FIPS 204) ---
# PK=1312 SK=2560 SIG=2420 bytes
ML-DSA,keygen,44,39504,1
ML-DSA,keygen,44,39166,2
ML-DSA,keygen,44,38597,3
ML-DSA,keygen,44,39066,4
ML-DSA,keygen,44,39063,5
ML-DSA,keygen,44,38815,6
ML-DSA,keygen,44,39291,7
ML-DSA,keygen,44,38817,8
ML-DSA,keygen,44,38830,9
ML-DSA,keygen,44,39071,10
ML-DSA,keygen,44,38338,11
ML-DSA,keygen,44,38336,12
ML-DSA,keygen,44,39058,13
ML-DSA,keygen,44,39302,14
ML-DSA,keygen,44,38349,15
ML-DSA,keygen,44,39298,16
ML-DSA,keygen,44,38373,17
ML-DSA,keygen,44,38852,18
ML-DSA,keygen,44,38580,19
ML-DSA,keygen,44,39288,20
ML-DSA,keygen,44,38591,21
ML-DSA,keygen,44,38348,22
ML-DSA,keygen,44,38819,23
ML-DSA,keygen,44,38340,24
ML-DSA,keygen,44,38580,25
ML-DSA,keygen,44,38570,26
ML-DSA,keygen,44,39299,27
ML-DSA,keygen,44,38590,28
ML-DSA,keygen,44,39075,29
ML-DSA,keygen,44,39306,30
# SUMMARY ML-DSA keygen 44: mean=38850 min=38336 max=39504 stddev=360.9 cv=0.93%
ML-DSA,sign,44,124129,1
ML-DSA,sign,44,118884,2
ML-DSA,sign,44,68770,3
ML-DSA,sign,44,229277,4
ML-DSA,sign,44,923171,5
ML-DSA,sign,44,154336,6
ML-DSA,sign,44,229346,7
ML-DSA,sign,44,224188,8
ML-DSA,sign,44,354337,9
ML-DSA,sign,44,143750,10
ML-DSA,sign,44,99089,11
ML-DSA,sign,44,174003,12
ML-DSA,sign,44,239954,13
ML-DSA,sign,44,68780,14
ML-DSA,sign,44,68753,15
ML-DSA,sign,44,204243,16
ML-DSA,sign,44,99089,17
ML-DSA,sign,44,149028,18
ML-DSA,sign,44,179265,19
ML-DSA,sign,44,149061,20
ML-DSA,sign,44,68745,21
ML-DSA,sign,44,93828,22
ML-DSA,sign,44,179278,23
ML-DSA,sign,44,68743,24
ML-DSA,sign,44,99053,25
ML-DSA,sign,44,68752,26
ML-DSA,sign,44,124030,27
ML-DSA,sign,44,93768,28
ML-DSA,sign,44,93785,29
ML-DSA,sign,44,234753,30
ML-DSA,sign,44,124047,31
ML-DSA,sign,44,68755,32
ML-DSA,sign,44,184626,33
ML-DSA,sign,44,174103,34
ML-DSA,sign,44,68746,35
ML-DSA,sign,44,68738,36
ML-DSA,sign,44,68789,37
ML-DSA,sign,44,259579,38
