---- Opened the serial port COM12 ----
# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
SLH-DSA benchmark starting...
Testing parameter set: SLH-DSA-SHA2-128s
SLH-DSA,keygen,128,17535728,1
SLH-DSA,keygen,128,17535135,2
SLH-DSA,keygen,128,17535100,3
SLH-DSA,keygen,128,17535085,4
SLH-DSA,keygen,128,17535097,5
SLH-DSA,keygen,128,17535073,6
SLH-DSA,keygen,128,17535082,7
SLH-DSA,keygen,128,17535101,8
SLH-DSA,keygen,128,17535082,9
SLH-DSA,keygen,128,17535109,10
SLH-DSA,keygen,128,17535095,11
SLH-DSA,keygen,128,17535088,12
SLH-DSA,keygen,128,17535086,13
SLH-DSA,keygen,128,17535078,14
SLH-DSA,keygen,128,17535098,15
SLH-DSA,keygen,128,17535088,16
SLH-DSA,keygen,128,17535097,17
SLH-DSA,keygen,128,17535097,18
SLH-DSA,keygen,128,17535088,19
SLH-DSA,keygen,128,17535090,20
SLH-DSA,keygen,128,17535089,21
SLH-DSA,keygen,128,17535078,22
SLH-DSA,keygen,128,17535095,23
SLH-DSA,keygen,128,17535090,24
SLH-DSA,keygen,128,17535080,25
SLH-DSA,keygen,128,17535078,26
SLH-DSA,keygen,128,17535094,27
SLH-DSA,keygen,128,17535099,28
SLH-DSA,keygen,128,17535091,29
SLH-DSA,keygen,128,17535077,30
# SUMMARY SLH-DSA keygen 128: mean=17535112 min=17535073 max=17535728 stddev=114.9 cv=0.00%
Finished KeyGen benchmark
Generated key pair
Starting Sign benchmark
SLH-DSA,sign,128,133656759,1
SLH-DSA,sign,128,133656386,2
SLH-DSA,sign,128,133656341,3
SLH-DSA,sign,128,133656334,4
SLH-DSA,sign,128,133656338,5
SLH-DSA,sign,128,133656355,6
SLH-DSA,sign,128,133656345,7
SLH-DSA,sign,128,133656357,8
SLH-DSA,sign,128,133656404,9
SLH-DSA,sign,128,133656387,10
SLH-DSA,sign,128,133656339,11
SLH-DSA,sign,128,133656375,12
SLH-DSA,sign,128,133656337,13
SLH-DSA,sign,128,133656349,14
SLH-DSA,sign,128,133656351,15
SLH-DSA,sign,128,133656328,16
SLH-DSA,sign,128,133656355,17
SLH-DSA,sign,128,133656352,18
SLH-DSA,sign,128,133656338,19
SLH-DSA,sign,128,133656345,20
SLH-DSA,sign,128,133656336,21
SLH-DSA,sign,128,133656334,22
SLH-DSA,sign,128,133656332,23
SLH-DSA,sign,128,133656358,24
SLH-DSA,sign,128,133656343,25
SLH-DSA,sign,128,133656330,26
SLH-DSA,sign,128,133656344,27
SLH-DSA,sign,128,133656354,28
SLH-DSA,sign,128,133656374,29
SLH-DSA,sign,128,133656334,30
# SUMMARY SLH-DSA sign 128: mean=133656364 min=133656328 max=133656759 stddev=75.6 cv=0.00%
Signature generated (7856 bytes)
Starting Verify benchmark
SLH-DSA,verify,128,139427,1
SLH-DSA,verify,128,139261,2
SLH-DSA,verify,128,139252,3
SLH-DSA,verify,128,139245,4
SLH-DSA,verify,128,139279,5
SLH-DSA,verify,128,139238,6
SLH-DSA,verify,128,139251,7
SLH-DSA,verify,128,139227,8
SLH-DSA,verify,128,139234,9
SLH-DSA,verify,128,139262,10
SLH-DSA,verify,128,139273,11
SLH-DSA,verify,128,139257,12
SLH-DSA,verify,128,139207,13
SLH-DSA,verify,128,139255,14
SLH-DSA,verify,128,139302,15
SLH-DSA,verify,128,139230,16
SLH-DSA,verify,128,139247,17
SLH-DSA,verify,128,139259,18
SLH-DSA,verify,128,139244,19
SLH-DSA,verify,128,139256,20
SLH-DSA,verify,128,139256,21
SLH-DSA,verify,128,139246,22
SLH-DSA,verify,128,139244,23
SLH-DSA,verify,128,139226,24
SLH-DSA,verify,128,139221,25
SLH-DSA,verify,128,139231,26
SLH-DSA,verify,128,139223,27
SLH-DSA,verify,128,139240,28
SLH-DSA,verify,128,139245,29
SLH-DSA,verify,128,139243,30
# SUMMARY SLH-DSA verify 128: mean=139253 min=139207 max=139427 stddev=37.3 cv=0.03%
Finished SLH-DSA-SHA2-128s

========================================
Testing parameter set: SLH-DSA-SHA2-192s
SLH-DSA,keygen,192,26539130,1
SLH-DSA,keygen,192,26538690,2
SLH-DSA,keygen,192,26538381,3
SLH-DSA,keygen,192,26538496,4
SLH-DSA,keygen,192,26538419,5
SLH-DSA,keygen,192,26538601,6
SLH-DSA,keygen,192,26537881,7
SLH-DSA,keygen,192,26538121,8
SLH-DSA,keygen,192,26538257,9
SLH-DSA,keygen,192,26538258,10
SLH-DSA,keygen,192,26538445,11
SLH-DSA,keygen,192,26538691,12
SLH-DSA,keygen,192,26538146,13
SLH-DSA,keygen,192,26538145,14
SLH-DSA,keygen,192,26538163,15
SLH-DSA,keygen,192,26538335,16
SLH-DSA,keygen,192,26538659,17
SLH-DSA,keygen,192,26537667,18
SLH-DSA,keygen,192,26538160,19
SLH-DSA,keygen,192,26537920,20
SLH-DSA,keygen,192,26538617,21
SLH-DSA,keygen,192,26537924,22
SLH-DSA,keygen,192,26537758,23
SLH-DSA,keygen,192,26538026,24
SLH-DSA,keygen,192,26538281,25
SLH-DSA,keygen,192,26538105,26
SLH-DSA,keygen,192,26538159,27
SLH-DSA,keygen,192,26538302,28
SLH-DSA,keygen,192,26538308,29
SLH-DSA,keygen,192,26538277,30
# SUMMARY SLH-DSA keygen 192: mean=26538277 min=26537667 max=26539130 stddev=305.0 cv=0.00%
Finished KeyGen benchmark
Generated key pair
Starting Sign benchmark
SLH-DSA,sign,192,317879994,1
SLH-DSA,sign,192,317875167,2
SLH-DSA,sign,192,317879305,3
SLH-DSA,sign,192,317874328,4
SLH-DSA,sign,192,317883155,5
SLH-DSA,sign,192,317880305,6
SLH-DSA,sign,192,317875982,7
SLH-DSA,sign,192,317883584,8
SLH-DSA,sign,192,317882825,9
SLH-DSA,sign,192,317885613,10
SLH-DSA,sign,192,317886586,11
SLH-DSA,sign,192,317882569,12
SLH-DSA,sign,192,317885822,13
SLH-DSA,sign,192,317883438,14
SLH-DSA,sign,192,317884244,15
SLH-DSA,sign,192,317890291,16
SLH-DSA,sign,192,317882927,17
SLH-DSA,sign,192,317886824,18
SLH-DSA,sign,192,317878349,19
SLH-DSA,sign,192,317875305,20
SLH-DSA,sign,192,317882270,21
SLH-DSA,sign,192,317889956,22
SLH-DSA,sign,192,317892144,23
SLH-DSA,sign,192,317877688,24
SLH-DSA,sign,192,317877271,25
SLH-DSA,sign,192,317881808,26
SLH-DSA,sign,192,317888764,27
SLH-DSA,sign,192,317879288,28
SLH-DSA,sign,192,317881809,29
SLH-DSA,sign,192,317884371,30
# SUMMARY SLH-DSA sign 192: mean=317882399 min=317874328 max=317892144 stddev=4578.3 cv=0.00%
Signature generated (16224 bytes)
Starting Verify benchmark
SLH-DSA,verify,192,253649,1
SLH-DSA,verify,192,253311,2
SLH-DSA,verify,192,253249,3
SLH-DSA,verify,192,253398,4
SLH-DSA,verify,192,253357,5
SLH-DSA,verify,192,253370,6
SLH-DSA,verify,192,253287,7
SLH-DSA,verify,192,253361,8
SLH-DSA,verify,192,253389,9
SLH-DSA,verify,192,253339,10
SLH-DSA,verify,192,253485,11
SLH-DSA,verify,192,253337,12
SLH-DSA,verify,192,253303,13
