# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
SLH-DSA benchmark starting...
Testing parameter set: SLH-DSA-SHA2-128s
SLH-DSA,keygen,128,17535715,1
SLH-DSA,keygen,128,17535127,2
SLH-DSA,keygen,128,17535094,3
SLH-DSA,keygen,128,17535081,4
SLH-DSA,keygen,128,17535103,5
SLH-DSA,keygen,128,17535075,6
SLH-DSA,keygen,128,17535090,7
SLH-DSA,keygen,128,17535079,8
SLH-DSA,keygen,128,17535097,9
SLH-DSA,keygen,128,17535076,10
SLH-DSA,keygen,128,17535084,11
SLH-DSA,keygen,128,17535092,12
SLH-DSA,keygen,128,17535093,13
SLH-DSA,keygen,128,17535083,14
SLH-DSA,keygen,128,17535092,15
SLH-DSA,keygen,128,17535071,16
SLH-DSA,keygen,128,17535080,17
SLH-DSA,keygen,128,17535084,18
SLH-DSA,keygen,128,17535081,19
SLH-DSA,keygen,128,17535088,20
SLH-DSA,keygen,128,17535093,21
SLH-DSA,keygen,128,17535086,22
SLH-DSA,keygen,128,17535080,23
SLH-DSA,keygen,128,17535085,24
SLH-DSA,keygen,128,17535077,25
SLH-DSA,keygen,128,17535094,26
SLH-DSA,keygen,128,17535078,27
SLH-DSA,keygen,128,17535094,28
SLH-DSA,keygen,128,17535080,29
SLH-DSA,keygen,128,17535089,30
# SUMMARY SLH-DSA keygen 128: mean=17535108 min=17535071 max=17535715 stddev=113.2 cv=0.00%
Finished KeyGen benchmark
Generated key pair
Starting Sign benchmark
SLH-DSA,sign,128,133661142,1
SLH-DSA,sign,128,133660819,2
SLH-DSA,sign,128,133660784,3
SLH-DSA,sign,128,133660775,4
SLH-DSA,sign,128,133660807,5
SLH-DSA,sign,128,133660779,6
SLH-DSA,sign,128,133660781,7
SLH-DSA,sign,128,133660752,8
SLH-DSA,sign,128,133660753,9
SLH-DSA,sign,128,133660786,10
SLH-DSA,sign,128,133660772,11
SLH-DSA,sign,128,133660785,12
SLH-DSA,sign,128,133660778,13
SLH-DSA,sign,128,133660736,14
SLH-DSA,sign,128,133660761,15
SLH-DSA,sign,128,133660766,16
SLH-DSA,sign,128,133660772,17
SLH-DSA,sign,128,133660752,18
SLH-DSA,sign,128,133660755,19
SLH-DSA,sign,128,133660779,20
SLH-DSA,sign,128,133660745,21
SLH-DSA,sign,128,133660802,22
SLH-DSA,sign,128,133660786,23
SLH-DSA,sign,128,133660803,24
SLH-DSA,sign,128,133660771,25
SLH-DSA,sign,128,133660771,26
SLH-DSA,sign,128,133660766,27
SLH-DSA,sign,128,133660726,28
SLH-DSA,sign,128,133660798,29
SLH-DSA,sign,128,133660757,30
# SUMMARY SLH-DSA sign 128: mean=133660785 min=133660726 max=133661142 stddev=69.4 cv=0.00%
Signature generated (7856 bytes)
Starting Verify benchmark
SLH-DSA,verify,128,132223,1
SLH-DSA,verify,128,132099,2
SLH-DSA,verify,128,132067,3
SLH-DSA,verify,128,132043,4
SLH-DSA,verify,128,132102,5
SLH-DSA,verify,128,132067,6
SLH-DSA,verify,128,132059,7
SLH-DSA,verify,128,132065,8
SLH-DSA,verify,128,132080,9
SLH-DSA,verify,128,132084,10
SLH-DSA,verify,128,132069,11
SLH-DSA,verify,128,132076,12
SLH-DSA,verify,128,132060,13
SLH-DSA,verify,128,132063,14
SLH-DSA,verify,128,132104,15
SLH-DSA,verify,128,132088,16
SLH-DSA,verify,128,132078,17
SLH-DSA,verify,128,132073,18
SLH-DSA,verify,128,132074,19
SLH-DSA,verify,128,132053,20
SLH-DSA,verify,128,132064,21
SLH-DSA,verify,128,132088,22
SLH-DSA,verify,128,132086,23
SLH-DSA,verify,128,132079,24
SLH-DSA,verify,128,132079,25
SLH-DSA,verify,128,132053,26
SLH-DSA,verify,128,132063,27
SLH-DSA,verify,128,132076,28
SLH-DSA,verify,128,132067,29
SLH-DSA,verify,128,132089,30
# SUMMARY SLH-DSA verify 128: mean=132079 min=132043 max=132223 stddev=30.3 cv=0.02%
Finished SLH-DSA-SHA2-128s

========================================
Testing parameter set: SLH-DSA-SHA2-192s
SLH-DSA,keygen,192,26538975,1
SLH-DSA,keygen,192,26538262,2
SLH-DSA,keygen,192,26538336,3
SLH-DSA,keygen,192,26538258,4
SLH-DSA,keygen,192,26538449,5
SLH-DSA,keygen,192,26538278,6
SLH-DSA,keygen,192,26538254,7
SLH-DSA,keygen,192,26538340,8
SLH-DSA,keygen,192,26538384,9
SLH-DSA,keygen,192,26538204,10
SLH-DSA,keygen,192,26538829,11
SLH-DSA,keygen,192,26538100,12
SLH-DSA,keygen,192,26538422,13
SLH-DSA,keygen,192,26538403,14
SLH-DSA,keygen,192,26537809,15
SLH-DSA,keygen,192,26538301,16
SLH-DSA,keygen,192,26538495,17
SLH-DSA,keygen,192,26538588,18
SLH-DSA,keygen,192,26538257,19
SLH-DSA,keygen,192,26538264,20
SLH-DSA,keygen,192,26537945,21
SLH-DSA,keygen,192,26538332,22
SLH-DSA,keygen,192,26538348,23
SLH-DSA,keygen,192,26538155,24
SLH-DSA,keygen,192,26538064,25
SLH-DSA,keygen,192,26538272,26
SLH-DSA,keygen,192,26538296,27
SLH-DSA,keygen,192,26538104,28
SLH-DSA,keygen,192,26538531,29
SLH-DSA,keygen,192,26538152,30
# SUMMARY SLH-DSA keygen 192: mean=26538314 min=26537809 max=26538975 stddev=225.7 cv=0.00%
Finished KeyGen benchmark
Generated key pair
Starting Sign benchmark
SLH-DSA,sign,192,317877967,1
SLH-DSA,sign,192,317877880,2
SLH-DSA,sign,192,317884731,3
SLH-DSA,sign,192,317883105,4
SLH-DSA,sign,192,317879553,5
SLH-DSA,sign,192,317881001,6
SLH-DSA,sign,192,317878533,7
SLH-DSA,sign,192,317888713,8
SLH-DSA,sign,192,317884251,9
SLH-DSA,sign,192,317881509,10
SLH-DSA,sign,192,317879742,11
SLH-DSA,sign,192,317886228,12
SLH-DSA,sign,192,317882825,13
SLH-DSA,sign,192,317883826,14
SLH-DSA,sign,192,317878287,15
SLH-DSA,sign,192,317882579,16
SLH-DSA,sign,192,317878229,17
SLH-DSA,sign,192,317879679,18
SLH-DSA,sign,192,317881483,19
SLH-DSA,sign,192,317880122,20
SLH-DSA,sign,192,317874204,21
SLH-DSA,sign,192,317877475,22
SLH-DSA,sign,192,317877820,23
SLH-DSA,sign,192,317877599,24
SLH-DSA,sign,192,317880273,25
SLH-DSA,sign,192,317873716,26
SLH-DSA,sign,192,317884123,27
SLH-DSA,sign,192,317880735,28
SLH-DSA,sign,192,317878439,29
SLH-DSA,sign,192,317879752,30
# SUMMARY SLH-DSA sign 192: mean=317880479 min=317873716 max=317888713 stddev=3265.9 cv=0.00%
Signature generated (16224 bytes)
Starting Verify benchmark
SLH-DSA,verify,192,248940,1
SLH-DSA,verify,192,248878,2
SLH-DSA,verify,192,248847,3
SLH-DSA,verify,192,248966,4
SLH-DSA,verify,192,248994,5
SLH-DSA,verify,192,248888,6
SLH-DSA,verify,192,248750,7
SLH-DSA,verify,192,248827,8
SLH-DSA,verify,192,248821,9
SLH-DSA,verify,192,248895,10
SLH-DSA,verify,192,248819,11
SLH-DSA,verify,192,248961,12
SLH-DSA,verify,192,248877,13
